,sample_id,year,qc_pass,study_id,region,country,country_id,site,site_id,ARTresistant,CQresistant,MQresistant,PPQresistant,PYRresistant,SDXresistant
26075,SPT50643,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,undetermined,sensitive,resistant,resistant
25692,SPT50246,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
26077,SPT50645,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
25811,SPT50368,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,undetermined,sensitive,sensitive,resistant,resistant
25686,SPT50240,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
22869,SPT38731,2015,True,1247,,Sudan,SD,Kassala,Kassala,undetermined,resistant,undetermined,undetermined,resistant,sensitive
7925,QS0155-C,2015,True,1098,,Ethiopia,ET,Amhara,Amhara,sensitive,resistant,sensitive,sensitive,resistant,resistant
25805,SPT50362,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
25807,SPT50364,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
25684,SPT50238,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
7929,QS0159-C,2015,True,1098,,Ethiopia,ET,Amhara,Amhara,sensitive,resistant,sensitive,sensitive,resistant,sensitive
7936,QS0168-C,2015,True,1098,,Ethiopia,ET,Amhara,Amhara,sensitive,resistant,sensitive,sensitive,resistant,resistant
22759,SPT38595,2016,True,1247,,Sudan,SD,Blue Nile,Blue Nile,undetermined,resistant,undetermined,undetermined,resistant,sensitive
22713,SPT38540,2016,True,1247,,Sudan,SD,Khartoum,Khartoum,sensitive,sensitive,sensitive,sensitive,resistant,sensitive
25828,SPT50387,2016,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
22710,SPT38537,2016,True,1247,,Sudan,SD,Khartoum,Khartoum,sensitive,resistant,undetermined,undetermined,resistant,resistant
22695,SPT38519,2016,True,1247,,Sudan,SD,Khartoum,Khartoum,sensitive,resistant,undetermined,undetermined,resistant,resistant
25827,SPT50386,2016,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
22682,SPT38504,2016,True,1247,,Sudan,SD,Khartoum,Khartoum,sensitive,sensitive,undetermined,undetermined,resistant,sensitive
